Row,Extension,Filename,Path,Event,Date/Time
1,.txt,notess.txt,D:\uni\TCSS 360,ENTRY_DELETE,2025-06-13 15:25:09
2,.txt,notes.txt,D:\uni\TCSS 360,ENTRY_CREATE,2025-06-13 15:25:09
